thickness,wavelength,fom
29.81,1099.38,1291.326507
29.82,1099.38,946.0520396
29.83,1099.38,775.9286465
29.84,1099.38,677.8227257
29.76,1099.39,688.3715461
29.77,1099.39,800.5044677
29.78,1099.39,988.3323316
29.79,1099.39,1426.705543
29.8,1099.39,3050.198058
29.81,1099.39,1300.8197599999999
29.82,1099.39,941.0185498
29.83,1099.39,775.9275761
29.84,1099.39,675.2346846
29.76,1099.4,691.0595442000001
29.77,1099.4,804.1420151000001
29.78,1099.4,993.8833893999999
29.79,1099.4,1450.092158
29.8,1099.4,3685.6509020000003
29.81,1099.4,1281.965531
29.82,1099.4,941.0172517000001
29.83,1099.4,772.5381804
29.84,1099.4,672.6663244
29.76,1099.41,696.4999972
29.77,1099.41,807.8127821
29.78,1099.41,1005.176132
29.79,1099.41,1474.258327
29.8,1099.41,3337.943383
29.81,1099.41,1272.741002
29.82,1099.41,931.1105226
29.83,1099.41,772.5371147999999
29.84,1099.41,672.6653964999999
29.76,1099.42,696.4990365
29.77,1099.42,811.5172259999999
29.78,1099.42,1005.1747460000001
29.79,1099.42,1486.645002
29.8,1099.42,2640.459034
29.81,1099.42,1254.686208
29.82,1099.42,926.2343207
29.83,1099.42,765.8474254
29.84,1099.42,669.8564597999999
29.76,1099.43,699.2510326
29.77,1099.43,815.2558122
29.78,1099.43,1010.9172070000001
29.79,1099.43,1474.25426
29.8,1099.43,2211.381391
29.81,1099.43,1228.0684820000001
29.82,1099.43,921.0513617
29.83,1099.43,765.5491837999999
29.84,1099.43,669.8555357999999
29.76,1099.44,699.2500681
29.77,1099.44,815.2546877
29.78,1099.44,1010.5235289999999
29.79,1099.44,1486.0640130000002
29.8,1099.44,2357.888234
29.81,1099.44,1237.134736
29.82,1099.44,921.4076418
29.83,1099.44,762.5442552999999
29.84,1099.44,667.5859141
29.76,1099.45,702.0239017000001
29.77,1099.45,819.0278852999999
29.78,1099.45,1022.6012900000001
29.79,1099.45,1538.3480279999999
29.8,1099.45,2640.448108
29.81,1099.45,1228.541828
29.82,1099.45,911.9073361999999
29.83,1099.45,762.5432035
29.84,1099.45,665.0752752999999
29.76,1099.46,702.0229333999999
29.77,1099.46,822.8361824
29.78,1099.46,1028.545228
29.79,1099.46,1579.5516
29.8,1099.46,2680.4512
29.81,1099.46,1228.540133
29.82,1099.46,911.9060785
29.83,1099.46,759.2694387
29.84,1099.46,662.5834428
29.76,1099.47,707.6381409
29.77,1099.47,826.6800712
29.78,1099.47,1040.644325
29.79,1099.47,1608.268502
29.8,1099.47,2527.279075
29.81,1099.47,1203.466226
29.82,1099.47,907.2283858
29.83,1099.47,752.8065329
29.84,1099.47,662.5825288999999
29.76,1099.48,707.637165
29.77,1099.48,830.5600528
29.78,1099.48,1040.64289
29.79,1099.48,1593.777399
29.8,1099.48,2239.358117
29.81,1099.48,1187.310679
29.82,1099.48,898.0167068
29.83,1099.48,752.5133699
29.84,1099.48,659.8531415
29.76,1099.49,710.4781013999999
29.77,1099.49,830.5589073
29.78,1099.49,1046.7990960000002
29.79,1099.49,1565.56679
29.8,1099.49,1986.9707640000001
29.81,1099.49,1171.1284640000001
29.82,1099.49,897.6669950999999
29.83,1099.49,749.3237205
29.84,1099.49,659.8522315
29.76,1099.5,710.4771216
29.77,1099.5,830.5577619
29.78,1099.5,1046.391445
29.79,1099.5,1607.637765
29.8,1099.5,2130.604267
29.81,1099.5,1179.392022
29.82,1099.5,893.4788045
29.83,1099.5,749.6135732000001
29.84,1099.5,657.6535438
